transcript_id	count
ENST00000608495	1
ENST00000382369	55
ENST00000360321	54
ENST00000400269	92
ENST00000382352	2653
ENST00000342665	2804
ENST00000609179	261
ENST00000217233	382
ENST00000449710	350
ENST00000422053	259
ENST00000411647	892
ENST00000354200	945
ENST00000217244	3857
ENST00000460062	186
ENST00000608066	49
ENST00000381962	730
ENST00000246104	6
ENST00000541082	72
ENST00000381939	49
ENST00000505691	61
ENST00000381899	972
ENST00000435720	28
ENST00000381898	826
ENST00000381894	2
ENST00000381873	13
ENST00000381867	79
ENST00000381808	44
ENST00000537552	1
ENST00000381715	1217
ENST00000400137	7745
ENST00000381719	1249
ENST00000476071	1841
ENST00000216879	1175
ENST00000381658	3892
ENST00000429387	21
ENST00000569387	1376
ENST00000564763	42
ENST00000344103	679
ENST00000381583	57
ENST00000216927	668
ENST00000400068	289
ENST00000356025	61
ENST00000358771	477
ENST00000400064	161
ENST00000447956	1
ENST00000411839	11
ENST00000381458	8
ENST00000381342	5013
ENST00000438552	3646
ENST00000339610	917
ENST00000358413	100
ENST00000358864	2
ENST00000445139	1830
ENST00000415272	578
ENST00000329276	1019
ENST00000380851	1264
ENST00000380843	2631
ENST00000380605	1299
ENST00000474714	107
ENST00000448755	277
ENST00000439542	5
ENST00000453689	35
ENST00000380445	1652
ENST00000380443	305
ENST00000431048	542
ENST00000380325	1878
ENST00000348031	427
ENST00000380266	1345
ENST00000329152	58
ENST00000354488	71
ENST00000380201	1126
ENST00000399838	1933
ENST00000539553	46
ENST00000453730	146
ENST00000252032	71
ENST00000446916	465
ENST00000262919	297
ENST00000290417	2
ENST00000399701	1
ENST00000399683	1058
ENST00000379751	3000
ENST00000340833	1640
ENST00000379567	365
ENST00000246041	202
ENST00000379573	3
ENST00000416600	840
ENST00000497424	911
ENST00000316562	1026
ENST00000610179	253
ENST00000336095	1097
ENST00000457205	53
ENST00000379440	31
ENST00000430350	261
ENST00000457586	84
ENST00000305817	1
ENST00000379376	4820
ENST00000379400	1632
ENST00000423430	31
ENST00000338244	2864
ENST00000424750	286
ENST00000379299	2494
ENST00000379277	2135
ENST00000379286	156
ENST00000379143	13843
ENST00000460006	2857
ENST00000379062	230
ENST00000535100	74
ENST00000589201	1
ENST00000418646	1879
ENST00000379019	175
ENST00000303142	33
ENST00000445603	54
ENST00000442185	350
ENST00000378961	2
ENST00000203001	195
ENST00000453074	502
ENST00000378883	122
ENST00000378886	954
ENST00000265187	317
ENST00000378863	97
ENST00000452938	620
ENST00000378868	612
ENST00000536936	21
ENST00000378827	59
ENST00000246024	1237
ENST00000378637	10
ENST00000378641	3
ENST00000338037	1
ENST00000378392	2
ENST00000378380	1
ENST00000254976	1
ENST00000347364	3660
ENST00000334534	89
ENST00000423891	349
ENST00000254958	10
ENST00000254977	278
ENST00000405977	324
ENST00000430557	2
ENST00000450297	1
ENST00000399002	7
ENST00000455532	131
ENST00000202816	835
ENST00000378106	195
ENST00000463598	273
ENST00000310348	126
ENST00000378058	210
ENST00000407045	59
ENST00000450176	29
ENST00000377943	2695
ENST00000474024	1789
ENST00000246043	408
ENST00000377813	1014
ENST00000398782	701
ENST00000481323	1611
ENST00000377710	27
ENST00000377709	106
ENST00000377704	1000
ENST00000432901	290
ENST00000377681	1450
ENST00000316358	557
ENST00000457009	10
ENST00000358866	1
ENST00000329494	188
ENST00000357236	92
ENST00000377603	427
ENST00000337227	1190
ENST00000262544	6623
ENST00000608034	480
ENST00000411646	280
ENST00000435844	653
ENST00000377452	2397
ENST00000455340	2
ENST00000609087	64
ENST00000255006	1888
ENST00000334982	1259
ENST00000310450	594
ENST00000398602	200
ENST00000377327	1626
ENST00000377303	1
ENST00000310227	1
ENST00000427175	457
ENST00000430436	419
ENST00000202677	381
ENST00000430571	4822
ENST00000377103	21
ENST00000246006	1393
ENST00000254998	864
ENST00000338121	16
ENST00000542987	132
ENST00000377051	223
ENST00000398425	565
ENST00000398411	1488
ENST00000376925	357
ENST00000398409	976
ENST00000376835	3
ENST00000447138	1640
ENST00000542618	2091
ENST00000376652	1859
ENST00000216962	794
ENST00000428458	228
ENST00000450393	54
ENST00000471287	555
ENST00000339157	54
ENST00000429262	485
ENST00000304788	286
ENST00000376436	81
ENST00000538750	519
ENST00000252979	176
ENST00000448580	21
ENST00000376398	1
ENST00000432499	1
ENST00000380888	20
ENST00000454331	16
ENST00000439954	168
ENST00000278882	58
ENST00000358464	109
ENST00000340852	2951
ENST00000376112	4
ENST00000376075	2
ENST00000439267	1186
ENST00000300403	380
ENST00000340513	6231
ENST00000375985	13
ENST00000339738	1381
ENST00000278979	858
ENST00000375966	321
ENST00000375938	16
ENST00000202017	1720
ENST00000562532	1
ENST00000262659	1
ENST00000534862	12174
ENST00000398022	2773
ENST00000246229	2045
ENST00000375730	420
ENST00000375749	56
ENST00000539210	113
ENST00000375712	1528
ENST00000418717	216
ENST00000375689	70
